T_H_out,L,D_fr,V_0,AR,UA,dP_max,epsilon,Q_dot_diff,dP_H_diff,dP_C_diff,targetParameter,targetdP_max_Regen,Time
541.274430,0.878102,1.064561,0.781585,0.000000,2874.859087,100.004012,0.738992,0.058059,0.000000,0.000000,2875.000000,100.000000,2.000000
558.563193,0.901075,1.015522,0.729843,0.000000,2874.806654,125.012225,0.691446,0.067293,0.000000,0.000000,2875.000000,125.000000,3.000000
572.090292,0.920360,0.977098,0.690120,0.000000,2874.901011,150.000412,0.654162,0.060664,0.000000,0.000000,2875.000000,150.000000,4.000000
583.105006,0.937014,0.945674,0.658141,0.000000,2874.918917,175.000532,0.623737,0.047632,0.000000,0.000000,2875.000000,175.000000,4.000000
592.046987,0.951752,0.919188,0.631572,0.000000,2874.848818,200.002810,0.598989,0.033999,0.000000,0.000000,2875.000000,200.000000,5.000000
599.686694,0.965000,0.896426,0.609040,0.000000,2874.906187,225.003209,0.577808,0.021820,0.000000,0.000000,2875.000000,225.000000,5.000000
606.462037,0.976942,0.876527,0.589508,0.000000,2874.791534,250.003657,0.558992,0.011960,0.000000,0.000001,2875.000000,250.000000,5.000000
612.162348,0.988014,0.858873,0.572415,0.000000,2874.887676,275.004259,0.543139,0.005291,0.000000,0.000001,2875.000000,275.000000,5.000000
616.976714,0.998282,0.843022,0.557213,0.000000,2874.886593,300.000567,0.529733,0.001493,0.000000,0.000002,2875.000000,300.000000,5.000000
527.051581,0.914113,1.072283,0.825483,0.000000,2999.913402,100.006074,0.778064,0.039866,0.000000,0.000000,3000.000000,100.000000,2.000000
544.710862,0.938000,1.023038,0.771039,0.000000,2999.953549,125.000711,0.729578,0.063603,0.000000,0.000000,3000.000000,125.000000,3.000000
558.814033,0.957918,0.984416,0.729081,0.000000,2999.749333,150.000940,0.690789,0.069404,0.000000,0.000000,3000.000000,150.000000,3.000000
570.356341,0.975192,0.952869,0.695419,0.000000,2999.842158,175.000816,0.658984,0.064038,0.000000,0.000000,3000.000000,175.000000,4.000000
579.860859,0.990481,0.926295,0.667474,0.000000,2999.932686,200.002986,0.632746,0.053626,0.000000,0.000000,3000.000000,200.000000,5.000000
587.899719,1.004152,0.903416,0.643673,0.000000,2999.808484,225.002814,0.610517,0.041799,0.000000,0.000000,3000.000000,225.000000,4.000000
595.038743,1.016579,0.883437,0.623136,0.000000,2999.884199,250.003347,0.590744,0.030117,0.000000,0.000001,3000.000000,250.000000,5.000000
601.059682,1.027993,0.865685,0.605061,0.000000,2999.797783,275.003474,0.574046,0.020354,0.000000,0.000001,3000.000000,275.000000,5.000000
606.627938,1.038532,0.849810,0.589052,0.000000,2999.877964,300.002341,0.558581,0.012138,0.000000,0.000001,3000.000000,300.000000,5.000000
